activation_date,weekly_drop_id,sku_id,brand,model_name,source_location_id,source_location_name,source_country_code,target_country_code,target_country_name,currency_code,fx_rate_to_eur,fx_buffer_pct,buy_price_eur,shipping_cost_v2,avg_ship_delay_days,customs_pct,customs_cost_v2,packaging_cost_v2,qc_cost_v2,fx_buffer_v2,landed_cost_v2,target_margin_pct,recommended_price_v2,avg_market_price,price_vs_market_gap,expected_margin_pct,expected_margin_value,candidate_units,expected_units_to_sell,pricing_status,stock_risk_score_v2,slow_moving_flag_v2,eligible_for_drop_flag_v2,stock_status,market_opportunity_score_v2,market_tier,activation_score_v2,activation_decision,activation_priority,decision_reason,scenario_name,shipping_cost_scn,fx_buffer_scn,landed_cost_scn,expected_units_to_sell_scn,unit_margin_scn,profit_scn,scenario_status
2026-04-20,WD_2026_16,SKU_001,adidas,Yeezy Slide,LOC_001,Paris Boutique,FR,BX,Benelux,EUR,1.0,0.01,70.0,12,3,0.0,0.0,3.0,2.5,0.7,88.2,0.22,113.08,122,8.92,0.22,24.88,35,29,market_supports_price,87.13,1,1,activate_candidate,47.57,medium_priority,55.04,reject,medium,market_opportunity_too_low,base,12.0,0.7,88.2,29.0,24.88,721.52,profitable
2026-04-20,WD_2026_16,SKU_001,adidas,Yeezy Slide,LOC_003,Milan Boutique,IT,CA,Canada,CAD,1.47,0.03,70.0,29,7,0.1,7.0,3.0,2.5,2.1,113.6,0.22,145.64,136,-9.64,0.22,32.04,25,20,price_above_market,67.06,1,1,activate_candidate,56.34,medium_priority,50.09,reject,medium,price_not_supported_by_market,base,29.0,2.1,113.6,20.0,32.04,640.8,profitable
2026-04-20,WD_2026_16,SKU_002,adidas,Yeezy 700,LOC_003,Milan Boutique,IT,CA,Canada,CAD,1.47,0.03,180.0,29,7,0.1,18.0,3.0,2.5,5.4,237.9,0.28,330.42,315,-15.42,0.28,92.52,12,9,price_above_market,75.6,1,1,activate_candidate,70.12,high_priority,57.8,reject,medium,price_not_supported_by_market,base,29.0,5.4,237.9,9.0,92.52,832.68,profitable
2026-04-20,WD_2026_16,SKU_002,adidas,Yeezy 700,LOC_001,Paris Boutique,FR,IT,Italy,EUR,1.0,0.01,180.0,12,4,0.0,0.0,3.0,2.5,1.8,199.3,0.28,276.81,289,12.19,0.28,77.51,10,7,market_supports_price,59.17,1,0,hold_local,54.77,medium_priority,46.48,reject,low,stock_not_eligible,base,12.0,1.8,199.3,7.0,77.51,542.57,profitable
2026-04-20,WD_2026_16,SKU_003,Jordan,Jordan 4,LOC_003,Milan Boutique,IT,CA,Canada,CAD,1.47,0.03,190.0,29,7,0.1,19.0,3.0,2.5,5.7,249.2,0.3,356.0,378,22.0,0.3,106.8,14,11,market_supports_price,79.17,1,1,activate_candidate,89.29,high_priority,66.36,approve,medium,approved_for_weekly_drop,base,29.0,5.7,249.2,11.0,106.8,1174.8,profitable
2026-04-20,WD_2026_16,SKU_003,Jordan,Jordan 4,LOC_001,Paris Boutique,FR,BX,Benelux,EUR,1.0,0.01,190.0,12,3,0.0,0.0,3.0,2.5,1.9,209.4,0.3,299.14,334,34.86,0.3,89.74,8,6,market_supports_price,45.7,1,0,hold_local,74.44,high_priority,48.85,reject,low,stock_not_eligible,base,12.0,1.9,209.4,6.0,89.74,538.44,profitable
2026-04-20,WD_2026_16,SKU_004,ASICS,Gel-NYC,LOC_002,Amsterdam Boutique,NL,BX,Benelux,EUR,1.0,0.01,95.0,10,2,0.0,0.0,3.0,2.5,0.95,111.45,0.24,146.64,174,27.36,0.24,35.19,20,16,market_supports_price,69.85,1,1,activate_candidate,55.07,medium_priority,50.52,approve,medium,approved_for_weekly_drop,base,10.0,0.95,111.45,16.0,35.19,563.04,profitable
2026-04-20,WD_2026_16,SKU_004,ASICS,Gel-NYC,LOC_002,Amsterdam Boutique,NL,CA,Canada,CAD,1.47,0.03,95.0,27,7,0.1,9.5,3.0,2.5,2.85,139.85,0.24,184.01,189,4.99,0.24,44.16,15,12,market_supports_price,69.85,1,1,activate_candidate,63.7,medium_priority,53.04,approve,medium,approved_for_weekly_drop,base,27.0,2.85,139.85,12.0,44.16,529.92,profitable
2026-04-20,WD_2026_16,SKU_005,New Balance,1906R,LOC_001,Paris Boutique,FR,BX,Benelux,EUR,1.0,0.01,110.0,12,3,0.0,0.0,3.0,2.5,1.1,128.6,0.24,169.21,188,18.79,0.24,40.61,18,14,market_supports_price,64.29,1,1,activate_candidate,42.06,low_priority,43.82,reject,low,market_opportunity_too_low,base,12.0,1.1,128.6,14.0,40.61,568.54,profitable
2026-04-20,WD_2026_16,SKU_005,New Balance,1906R,LOC_004,Madrid Boutique,ES,CA,Canada,CAD,1.47,0.03,110.0,30,8,0.1,11.0,3.0,2.5,3.3,159.8,0.24,210.26,205,-5.26,0.24,50.46,16,12,price_above_market,52.57,1,0,hold_local,53.84,medium_priority,43.64,reject,low,stock_not_eligible,base,30.0,3.3,159.8,12.0,50.46,605.52,profitable
